id,session,category,office,name,url
1355371,2015,ASSEMBLY DISTRICTS,ASSEMBLY 56,"GARCIA, EDUARDO",/Campaign/Candidates/Detail.aspx?session=2015&id=1355371
1336511,2015,ASSEMBLY DISTRICTS,ASSEMBLY 57,"CALDERON, IAN",/Campaign/Candidates/Detail.aspx?session=2015&id=1336511
1343926,2015,ASSEMBLY DISTRICTS,ASSEMBLY 58,"GARCIA, CRISTINA",/Campaign/Candidates/Detail.aspx?session=2015&id=1343926
1317870,2015,ASSEMBLY DISTRICTS,ASSEMBLY 59,"JONES-SAWYER SR., REGINALD BYRON",/Campaign/Candidates/Detail.aspx?session=2015&id=1317870
1345603,2015,ASSEMBLY DISTRICTS,ASSEMBLY 60,"LINDER, ERIC",/Campaign/Candidates/Detail.aspx?session=2015&id=1345603
1005789,2015,ASSEMBLY DISTRICTS,ASSEMBLY 61,"MEDINA, JOSE J.",/Campaign/Candidates/Detail.aspx?session=2015&id=1005789
1357823,2015,ASSEMBLY DISTRICTS,ASSEMBLY 62,"BURKE, AUTUMN",/Campaign/Candidates/Detail.aspx?session=2015&id=1357823
1335212,2015,ASSEMBLY DISTRICTS,ASSEMBLY 63,"RENDON, ANTHONY",/Campaign/Candidates/Detail.aspx?session=2015&id=1335212
1299805,2015,ASSEMBLY DISTRICTS,ASSEMBLY 64,"GIPSON, MIKE",/Campaign/Candidates/Detail.aspx?session=2015&id=1299805
1358869,2015,ASSEMBLY DISTRICTS,ASSEMBLY 65,"KIM, YOUNG O.",/Campaign/Candidates/Detail.aspx?session=2015&id=1358869
1359993,2015,ASSEMBLY DISTRICTS,ASSEMBLY 66,"HADLEY, DAVID F.",/Campaign/Candidates/Detail.aspx?session=2015&id=1359993
1340675,2015,ASSEMBLY DISTRICTS,ASSEMBLY 67,"MELENDEZ, MELISSA",/Campaign/Candidates/Detail.aspx?session=2015&id=1340675
1260382,2015,ASSEMBLY DISTRICTS,ASSEMBLY 68,"WAGNER, DON",/Campaign/Candidates/Detail.aspx?session=2015&id=1260382
1341148,2015,ASSEMBLY DISTRICTS,ASSEMBLY 69,"DALY, TOM",/Campaign/Candidates/Detail.aspx?session=2015&id=1341148
1296270,2015,ASSEMBLY DISTRICTS,ASSEMBLY 70,"O'DONNELL, PATRICK",/Campaign/Candidates/Detail.aspx?session=2015&id=1296270
1319720,2015,ASSEMBLY DISTRICTS,ASSEMBLY 71,"JONES, BRIAN W.",/Campaign/Candidates/Detail.aspx?session=2015&id=1319720
1345834,2015,ASSEMBLY DISTRICTS,ASSEMBLY 72,"ALLEN, TRAVIS",/Campaign/Candidates/Detail.aspx?session=2015&id=1345834
1356165,2015,ASSEMBLY DISTRICTS,ASSEMBLY 73,"BROUGH, WILLIAM (BILL)",/Campaign/Candidates/Detail.aspx?session=2015&id=1356165
1341264,2015,ASSEMBLY DISTRICTS,ASSEMBLY 74,"HARPER, MATTHEW",/Campaign/Candidates/Detail.aspx?session=2015&id=1341264
1273672,2015,ASSEMBLY DISTRICTS,ASSEMBLY 75,"WALDRON, MARIE",/Campaign/Candidates/Detail.aspx?session=2015&id=1273672
1339551,2015,ASSEMBLY DISTRICTS,ASSEMBLY 76,"CHAVEZ, ROCKY",/Campaign/Candidates/Detail.aspx?session=2015&id=1339551
1339637,2015,ASSEMBLY DISTRICTS,ASSEMBLY 77,"MAIENSCHEIN, BRIAN",/Campaign/Candidates/Detail.aspx?session=2015&id=1339637
1314678,2015,ASSEMBLY DISTRICTS,ASSEMBLY 78,"ATKINS, TONI G.",/Campaign/Candidates/Detail.aspx?session=2015&id=1314678
1342820,2015,ASSEMBLY DISTRICTS,ASSEMBLY 79,"WEBER, SHIRLEY",/Campaign/Candidates/Detail.aspx?session=2015&id=1342820
1353845,2015,ASSEMBLY DISTRICTS,ASSEMBLY 80,"GONZALEZ, LORENA S.",/Campaign/Candidates/Detail.aspx?session=2015&id=1353845
1265530,2013,STATEWIDE OFFICES,GOVERNOR,"BROWN, EDMUND G. (JERRY)",/Campaign/Candidates/Detail.aspx?session=2013&id=1265530
1308192,2013,STATEWIDE OFFICES,LIEUTENANT GOVERNOR,"NEWSOM, GAVIN",/Campaign/Candidates/Detail.aspx?session=2013&id=1308192
1003952,2013,STATEWIDE OFFICES,SECRETARY OF STATE,"BOWEN, DEBRA",/Campaign/Candidates/Detail.aspx?session=2013&id=1003952
1005192,2013,STATEWIDE OFFICES,CONTROLLER,"CHIANG, JOHN",/Campaign/Candidates/Detail.aspx?session=2013&id=1005192
1000654,2013,STATEWIDE OFFICES,TREASURER,"LOCKYER, BILL",/Campaign/Candidates/Detail.aspx?session=2013&id=1000654
1313503,2013,STATEWIDE OFFICES,ATTORNEY GENERAL,"HARRIS, KAMALA D.",/Campaign/Candidates/Detail.aspx?session=2013&id=1313503
1314864,2013,STATEWIDE OFFICES,SUPERINTENDENT OF PUBLIC INSTRUCTION,"TORLAKSON, TOM",/Campaign/Candidates/Detail.aspx?session=2013&id=1314864
1224542,2013,STATEWIDE OFFICES,INSURANCE COMMISSIONER,"JONES, DAVE",/Campaign/Candidates/Detail.aspx?session=2013&id=1224542
1273041,2013,BOARD OF EQUALIZATION,MEMBER BOARD OF EQUALIZATION 01,"YEE, BETTY T.",/Campaign/Candidates/Detail.aspx?session=2013&id=1273041
1005399,2013,BOARD OF EQUALIZATION,MEMBER BOARD OF EQUALIZATION 02,"RUNNER, GEORGE C.",/Campaign/Candidates/Detail.aspx?session=2013&id=1005399
1257034,2013,BOARD OF EQUALIZATION,MEMBER BOARD OF EQUALIZATION 03,"STEEL, MICHELLE",/Campaign/Candidates/Detail.aspx?session=2013&id=1257034
1220801,2013,BOARD OF EQUALIZATION,MEMBER BOARD OF EQUALIZATION 04,"HORTON, JEROME E.",/Campaign/Candidates/Detail.aspx?session=2013&id=1220801
1265444,2013,SENATE DISTRICTS,STATE SENATE 01,"GAINES, EDWARD T",/Campaign/Candidates/Detail.aspx?session=2013&id=1265444
1227859,2013,SENATE DISTRICTS,STATE SENATE 02,"EVANS, NOREEN M.",/Campaign/Candidates/Detail.aspx?session=2013&id=1227859
1235630,2013,SENATE DISTRICTS,STATE SENATE 03,"WOLK, LOIS",/Campaign/Candidates/Detail.aspx?session=2013&id=1235630
1299401,2013,SENATE DISTRICTS,STATE SENATE 04,"NIELSEN, JIM",/Campaign/Candidates/Detail.aspx?session=2013&id=1299401
1273495,2013,SENATE DISTRICTS,STATE SENATE 05,"GALGIANI, CATHLEEN",/Campaign/Candidates/Detail.aspx?session=2013&id=1273495
1005223,2013,SENATE DISTRICTS,STATE SENATE 06,"STEINBERG, DARRELL",/Campaign/Candidates/Detail.aspx?session=2013&id=1005223
1236046,2013,SENATE DISTRICTS,STATE SENATE 07,"DE SAULNIER, MARK",/Campaign/Candidates/Detail.aspx?session=2013&id=1236046
1226856,2013,SENATE DISTRICTS,STATE SENATE 08,"YEE, LELAND Y.",/Campaign/Candidates/Detail.aspx?session=2013&id=1226856
1238901,2013,SENATE DISTRICTS,STATE SENATE 09,"HANCOCK, LONI",/Campaign/Candidates/Detail.aspx?session=2013&id=1238901
