url,id,name,year
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=93,93,2014 SPECIAL ELECTION (STATE SENATE 35),2014
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=89,89,2014 SPECIAL ELECTION (STATE SENATE 23),2014
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=40,40,2014 PRIMARY,2014
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=41,41,2014 GENERAL,2014
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=74,74,2013 SPECIAL ELECTION (STATE SENATE 40),2013
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=78,78,2013 SPECIAL ELECTION (ASSEMBLY 80),2013
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=80,80,2013 SPECIAL RUNOFF (STATE SENATE 32),2013
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=75,75,2013 SPECIAL ELECTION (STATE SENATE 32),2013
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=73,73,2013 SPECIAL ELECTION (STATE SENATE 04),2013
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=86,86,2013 SPECIAL ELECTION (STATE SENATE 26),2013
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=85,85,2013 SPECIAL RUNOFF (ASSEMBLY 45),2013
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=88,88,2013 SPECIAL ELECTION (ASSEMBLY 54),2013
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=84,84,2013 SPECIAL ELECTION (ASSEMBLY 45),2013
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=76,76,2013 SPECIAL ELECTION (STATE SENATE 16),2013
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=83,83,2013 SPECIAL RUNOFF (ASSEMBLY 52),2013
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=82,82,2013 SPECIAL ELECTION (ASSEMBLY 52),2013
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=77,77,2013 SPECIAL RUNOFF (STATE SENATE 16),2013
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=72,72,2012 SPECIAL ELECTION (STATE SENATE 04),2012
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=25,25,2012 PRIMARY,2012
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=26,26,2012 GENERAL,2012
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=59,59,2011 SPECIAL ELECTION (STATE SENATE 28),2011
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=68,68,2011 SPECIAL ELECTION (ASSEMBLY 04),2011
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=69,69,2011 SPECIAL RUNOFF (ASSEMBLY 04),2011
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=56,56,2011 SPECIAL RUNOFF (STATE SENATE 01),2011
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=61,61,2011 SPECIAL ELECTION (STATE SENATE 17),2011
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=54,54,2010 SPECIAL RUNOFF (STATE SENATE 15),2010
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=55,55,2010 SPECIAL ELECTION (STATE SENATE 01),2010
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=22,22,2010 PRIMARY,2010
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=52,52,2010 SPECIAL RUNOFF (ASSEMBLY 43),2010
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=48,48,2010 SPECIAL ELECTION (STATE SENATE 37),2010
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=49,49,2010 SPECIAL ELECTION (ASSEMBLY 43),2010
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=53,53,2010 SPECIAL ELECTION (STATE SENATE 15),2010
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=47,47,2010 SPECIAL RUNOFF (ASSEMBLY 72),2010
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=51,51,2010 SPECIAL RUNOFF (STATE SENATE 37),2010
